Cluster,FID,Lat,Long,DAYNO.,RAINFALL,YEAR
7,30.0,30.0,78.25,183.5,3.680327868852459,2016.0
8,16.0,29.5,80.0,183.5,3.379781420765027,2016.0
9,12.0,29.5,79.0,183.5,2.251366120218579,2016.0
10,67.0,30.75,78.75,183.5,3.808743169398907,2016.0
11,82.0,31.25,79.0,183.5,3.9508196721311477,2016.0
12,34.0,30.0,79.25,183.5,3.3333333333333335,2016.0
13,64.0,30.75,78.0,183.5,3.237704918032787,2016.0
14,48.0,30.25,80.0,183.5,4.882513661202186,2016.0
15,51.5,30.25,80.875,183.5,5.974043715846994,2016.0
16,35.0,30.0,79.5,183.5,3.73224043715847,2016.0
17,80.0,31.0,79.75,183.5,3.5382513661202184,2016.0
18,28.5,30.0,77.875,183.5,3.3128415300546448,2016.0
19,51.5,30.375,79.25,183.5,4.191256830601093,2016.0
20,19.0,29.75,78.25,183.5,2.9262295081967213,2016.0
21,53.0,30.5,78.0,183.5,4.4316939890710385,2016.0
22,62.0,30.5,80.25,183.5,5.262295081967213,2016.0
23,42.0,30.25,78.5,183.5,2.412568306010929,2016.0
24,8.0,29.25,79.75,183.5,2.5737704918032787,2016.0
25,25.0,29.75,79.75,183.5,2.8961748633879782,2016.0
26,44.0,30.25,79.0,183.5,4.057377049180328,2016.0
27,5.0,29.25,79.0,183.5,1.598360655737705,2016.0
28,9.0,29.25,80.0,183.5,2.669398907103825,2016.0
29,27.0,29.75,80.25,183.5,5.975409836065574,2016.0
30,55.0,30.5,78.5,183.5,2.849726775956284,2016.0
31,72.0,30.75,80.0,183.5,4.0710382513661205,2016.0
32,77.0,31.0,79.0,183.5,4.204918032786885,2016.0
33,54.0,30.5,78.25,183.5,2.860655737704918,2016.0
34,1.0,29.0,79.25,183.5,3.609289617486339,2016.0
35,71.0,30.75,79.75,183.5,3.6311475409836067,2016.0
36,43.0,30.25,78.75,183.5,3.4617486338797816,2016.0
37,13.0,29.5,79.25,183.5,4.2650273224043715,2016.0
38,50.0,30.25,80.5,183.5,5.598360655737705,2016.0
39,59.0,30.5,79.5,183.5,3.057377049180328,2016.0
40,37.0,30.0,80.0,183.5,4.808743169398907,2016.0
